Year Added,Number,Family,Subfamily,Tribe,Genus,Species,Code,Common Name,ITIS ID,Other Scientific Names,Native?,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length,Other Notes,Sources
2015,1,Andrenidae,Andreninae,N/A,Ancylandrena,atoposoma,ayatoposoma,Mining Bee,654122,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Zavortink 1973
2015,2,Andrenidae,Andreninae,N/A,Ancylandrena,koebelei,aykoebelei,Mining Bee,654123,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; Griswold et al. 2006; ITIS 2015; VanDyk 2015; Zavortink 1973
2015,3,Andrenidae,Andreninae,N/A,Ancylandrena,larreae,aylarreae,Mining Bee,654124,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Rozen 1994; VanDyk 2015; Zavortink 1973
2015,4,Andrenidae,Andreninae,N/A,Ancylandrena,rozeni,ayrozeni,Mining Bee,654125,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Minckley 2015; Rozen 1994; VanDyk 2015
2015,5,Andrenidae,Andreninae,N/A,Ancylandrena,timberlakei,aytimberlakei,Mining Bee,654126,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Zavortink 1973
2015,6,Andrenidae,Andreninae,N/A,Andrena,aberrans,anaberrans,Mining Bee,752091,.,.,Ground,Univoltine,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,7,Andrenidae,Andreninae,N/A,Andrena,ablegata,anablegata,Mining Bee,654127,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,8,Andrenidae,Andreninae,N/A,Andrena,accepta,anaccepta,Mining Bee,654128,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; Hilty 2015; Hurd et al. 1980; ITIS 2015; LaBerge 1967; Minckley et al. 1994; Mitchell 1960; VanDyk 2015
2015,9,Andrenidae,Andreninae,N/A,Andrena,acrana,anacrana,Mining Bee,752097,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,10,Andrenidae,Andreninae,N/A,Andrena,aculeata,anaculeata,Mining Bee,654129,.,Y,Ground,.,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1980; Xerces 2015
2015,11,Andrenidae,Andreninae,N/A,Andrena,afimbriata,anafimbriata,Mining Bee,654132,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1967
2015,12,Andrenidae,Andreninae,N/A,Andrena,agilissima,anagilissima,Mining Bee,752108,.,N,Ground,Univoltine,Communal,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; BWARS 2015; Giovanetti et al. 1999; ITIS 2015; Paxton et al. 1999
2015,13,Andrenidae,Andreninae,N/A,Andrena,agoseridis,anagoseridis,Mining Bee,654134,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
